condition,class_index,class_label,support,recall,precision
full_4class_9sub,0,Left,648,0.723765,0.746815
full_4class_9sub,1,Right,648,0.745370,0.740798
full_4class_9sub,2,Feet,648,0.756173,0.715328
full_4class_9sub,3,Tongue,648,0.711420,0.735247
c3c4_4class_9sub,0,Left,648,0.560185,0.518571
c3c4_4class_9sub,1,Right,648,0.473765,0.504105
c3c4_4class_9sub,2,Feet,648,0.387346,0.451439
c3c4_4class_9sub,3,Tongue,648,0.567901,0.506190
c3c4_2class_9sub,0,Left,648,0.729938,0.698671
c3c4_2class_9sub,1,Right,648,0.685185,0.717286
c3c4_4class_pilot5_baseline,0,Left,360,0.591667,0.588398
c3c4_4class_pilot5_baseline,1,Right,360,0.533333,0.561404
c3c4_4class_pilot5_baseline,2,Feet,360,0.380556,0.453642
c3c4_4class_pilot5_baseline,3,Tongue,360,0.633333,0.525346
c3c4_4class_pilot5_kd,0,Left,360,0.655556,0.545035
c3c4_4class_pilot5_kd,1,Right,360,0.577778,0.573003
c3c4_4class_pilot5_kd,2,Feet,360,0.361111,0.477941
c3c4_4class_pilot5_kd,3,Tongue,360,0.594444,0.575269
