subject,n_seeds,best_acc_mean,best_acc_std,aver_acc_mean,aver_acc_std
1,3,0.591424,0.011174,0.518945,0.003157
2,3,0.396989,0.010607,0.340521,0.008208
3,3,0.672459,0.008024,0.622518,0.003384
4,3,0.474545,0.008006,0.417471,0.006649
5,3,0.320587,0.012196,0.280387,0.010993
6,3,0.459500,0.019110,0.400162,0.007045
7,3,0.489574,0.006931,0.418026,0.014275
8,3,0.482635,0.019331,0.435119,0.014455
9,3,0.607626,0.010417,0.562294,0.012124

overall_subject_means,3,0.499482,0.109076,0.443938,0.107433
overall_seed_means,3,0.499482,0.003461,0.443938,0.003323
